Alopochen aegyptiaca
Alternanthera philoxeroides
Asclepias syriaca
Baccharis halimifolia
Cabomba caroliniana
Callosciurus erythraeus
Pennisetum setaceum
Corvus splendens
Eichhornia crassipes
Elodea nuttallii
Eriocheir sinensis
Gunnera tinctoria
Heracleum mantegazzianum
Heracleum persicum
Heracleum sosnowskyi
Herpestes javanicus
Hydrocotyle ranunculoides
Impatiens glandulifera
Lagarosiphon major
Lithobates catesbeianus
Ludwigia peploides
Lysichiton americanus
Microstegium vimineum
Muntiacus reevesi
Myocastor coypus
Myriophyllum heterophyllum
Nasua nasua
Ondatra zibethicus
Orconectes limosus
Orconectes virilis
Oxyura jamaicensis
Pacifastacus leniusculus
Parthenium hysterophorus
Perccottus glenii
Procambarus clarkii
Procyon lotor
Pseudorasbora parva
Pueraria montana var. lobata
Sciurus carolinensis
Tamias sibiricus
Threskiornis aethiopicus
Vespa velutina nigrithorax
Procambarus fallax f. virginalis
Ludwigia grandiflora
Trachemys scripta
Myriophyllum aquaticum
Persicaria perfoliata
Sciurus niger
